,first_name,last_name,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,Rank,age,age_group,RA_CODE_2016,RA_NAME_2016,RATIO,PERCENTAGE,Profit
0,Chickie,Brister,Male,86,Manufacturing,Mass Customer,Yes,14,45 Shopko Center,4500,QLD,6,1,64.0,60-69,30.0,Major Cities of Australia,1.0,100.0,572.5192074719599
1,Peria,Rantoull,Female,3,Financial Services,Mass Customer,No,4,8350 Moulton Terrace,4500,QLD,4,120,47.0,40-49,30.0,Major Cities of Australia,1.0,100.0,533.0512729719599
2,Madison,Lars,Male,11,Health,Mass Customer,No,19,9503 New Castle Street,4500,QLD,9,620,55.0,50-59,30.0,Major Cities of Australia,1.0,100.0,539.33978376396
3,Andrea,Pendle,Female,86,Financial Services,High Net Worth,Yes,13,31281 Meadow Valley Way,4500,QLD,6,760,83.0,70+,30.0,Major Cities of Australia,1.0,100.0,560.5160464189801
4,Philbert,Bangs,Male,67,IT,Mass Customer,Yes,6,02643 Moose Court,4500,QLD,7,951,56.0,50-59,30.0,Major Cities of Australia,1.0,100.0,567.4568108479599
5,Morly,Genery,Male,69,Property,Mass Customer,No,16,14 Mccormick Park,2113,NSW,11,1,51.0,50-59,10.0,Major Cities of Australia,1.0,100.0,551.2631685119599
6,Ardelis,Forrester,Female,10,Financial Services,Affluent Customer,No,10,5 Colorado Crossing,3505,VIC,5,1,47.0,40-49,22.0,Outer Regional Australia,1.0,100.0,537.865000424
7,Lucine,Stutt,Female,64,Manufacturing,Affluent Customer,Yes,5,207 Annamark Plaza,4814,QLD,1,4,43.0,40-49,32.0,Outer Regional Australia,1.0,100.0,573.5783540240001
8,Nancie,Vian,Female,74,Retail,Mass Customer,Yes,10,85 Carioca Point,4814,QLD,5,8,49.0,40-49,32.0,Outer Regional Australia,1.0,100.0,577.8932349779601
9,Conway,Juarez,Male,27,Financial Services,Affluent Customer,No,17,66904 American Ash Hill,4814,QLD,5,904,55.0,50-59,32.0,Outer Regional Australia,1.0,100.0,549.768470424
10,Melinda,Hadlee,Female,34,Financial Services,Affluent Customer,No,19,115 Montana Place,2093,NSW,9,4,56.0,50-59,10.0,Major Cities of Australia,1.0,100.0,530.92952629
11,Averil,Ackery,Male,93,Retail,Mass Customer,Yes,7,344 Darwin Junction,2093,NSW,12,676,51.0,50-59,10.0,Major Cities of Australia,1.0,100.0,570.72003059996
12,Micheil,Fleote,Male,48,Manufacturing,High Net Worth,No,16,174 Lotheville Crossing,2093,NSW,9,739,46.0,40-49,10.0,Major Cities of Australia,1.0,100.0,545.0657122189799
13,Druci,Brandli,Female,39,Entertainment,High Net Worth,Yes,22,89105 Pearson Terrace,4075,QLD,7,6,70.0,60-69,30.0,Major Cities of Australia,1.0,100.0,548.67368879898
14,Bessy,Saladin,Female,22,Manufacturing,Mass Customer,Yes,16,60073 Pankratz Pass,4075,QLD,10,341,82.0,70+,30.0,Major Cities of Australia,1.0,100.0,547.06180221996
15,Keenan,Moriarty,Male,67,Financial Services,Mass Customer,Yes,2,077 Hansons Point,4075,QLD,8,684,27.0,18-29,30.0,Major Cities of Australia,1.0,100.0,570.35951089996
16,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,10.0,Major Cities of Australia,0.7160068,71.6006793,531.681280469641
17,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,11.0,Inner Regional Australia,0.2609647,26.09647,521.4933664511792
18,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,80.0,Major Cities of Australia,0.0174731,1.7473128,556.6172978601992
19,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,81.0,Inner Regional Australia,0.0055554,0.5555379,550.4935488708203
20,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,10.0,Major Cities of Australia,0.7160068,71.6006793,558.7933747296411
21,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,11.0,Inner Regional Australia,0.2609647,26.09647,548.6054607111793
22,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,80.0,Major Cities of Australia,0.0174731,1.7473128,583.7293921201992
23,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,81.0,Inner Regional Australia,0.0055554,0.5555379,577.6056431308203
24,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,10.0,Major Cities of Australia,0.7160068,71.6006793,547.9498836886612
25,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,11.0,Inner Regional Australia,0.2609647,26.09647,537.7619696701994
26,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,80.0,Major Cities of Australia,0.0174731,1.7473128,572.8859010792194
27,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,81.0,Inner Regional Australia,0.0055554,0.5555379,566.7621520898405
28,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,10.0,Major Cities of Australia,0.7160068,71.6006793,538.6354598696411
29,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,11.0,Inner Regional Australia,0.2609647,26.09647,528.4475458511791
30,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,80.0,Major Cities of Australia,0.0174731,1.7473128,563.5714772601992
31,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,81.0,Inner Regional Australia,0.0055554,0.5555379,557.4477282708203
32,Duff,Karlowicz,Male,50,Manufacturing,Mass Customer,Yes,5,717 West Drive,2200,NSW,10,8,49.0,40-49,10.0,Major Cities of Australia,1.0,100.0,556.50458225996
33,Rolland,Esmead,Male,41,Health,Affluent Customer,No,8,72008 7th Avenue,2200,NSW,8,233,81.0,70+,10.0,Major Cities of Australia,1.0,100.0,533.653941474
34,Kissie,Line,Female,2,Manufacturing,Affluent Customer,Yes,7,629 Grasskamp Junction,2200,NSW,9,862,21.0,18-29,10.0,Major Cities of Australia,1.0,100.0,544.3661668860001
35,Ferdinand,Romanetti,Male,60,Financial Services,Affluent Customer,No,9,2 Sloan Way,2200,NSW,7,996,62.0,60-69,10.0,Major Cities of Australia,1.0,100.0,541.2322825739999
36,Barthel,Docket,Male,72,IT,Mass Customer,Yes,17,80 Scofield Junction,4151,QLD,5,10,36.0,30-39,30.0,Major Cities of Australia,1.0,100.0,572.7077326679599
37,Clarine,Piecha,Female,99,Health,High Net Worth,No,14,7523 Eggendart Hill,4151,QLD,10,865,57.0,50-59,30.0,Major Cities of Australia,1.0,100.0,559.02917146298
38,Rockwell,Matson,Male,94,Retail,High Net Worth,No,3,3682 Crowley Point,4573,QLD,6,10,27.0,18-29,30.0,Major Cities of Australia,0.9967523,99.6752336,573.0973834989474
39,Rockwell,Matson,Male,94,Retail,High Net Worth,No,3,3682 Crowley Point,4573,QLD,6,10,27.0,18-29,31.0,Inner Regional Australia,0.0032477,0.3247664,557.9709003970125
40,Wheeler,Winward,Male,48,Manufacturing,Mass Customer,No,10,3 Golden Leaf Point,3216,VIC,8,12,22.0,18-29,20.0,Major Cities of Australia,0.9915374,99.1537388,554.1082715289257
41,Wheeler,Winward,Male,48,Manufacturing,Mass Customer,No,10,3 Golden Leaf Point,3216,VIC,8,12,22.0,18-29,21.0,Inner Regional Australia,0.0084626,0.8462612,539.0774465049941
42,Ingmar,Okenden,Male,97,Financial Services,Mass Customer,Yes,8,1 Graceland Plaza,3216,VIC,2,478,63.0,60-69,20.0,Major Cities of Australia,0.9915374,99.1537388,567.1429630089257
43,Ingmar,Okenden,Male,97,Financial Services,Mass Customer,Yes,8,1 Graceland Plaza,3216,VIC,2,478,63.0,60-69,21.0,Inner Regional Australia,0.0084626,0.8462612,552.1121379849941
44,Debby,Balmadier,Female,53,Financial Services,Affluent Customer,Yes,5,738 Spaight Drive,3216,VIC,8,691,29.0,18-29,20.0,Major Cities of Australia,0.9915374,99.1537388,557.2715072109658
45,Debby,Balmadier,Female,53,Financial Services,Affluent Customer,Yes,5,738 Spaight Drive,3216,VIC,8,691,29.0,18-29,21.0,Inner Regional Australia,0.0084626,0.8462612,542.2406821870342
46,Teodor,Mullinder,Male,56,Manufacturing,High Net Worth,No,11,43 Pond Junction,3216,VIC,5,832,59.0,50-59,20.0,Major Cities of Australia,0.9915374,99.1537388,549.1650991879457
47,Teodor,Mullinder,Male,56,Manufacturing,High Net Worth,No,11,43 Pond Junction,3216,VIC,5,832,59.0,50-59,21.0,Inner Regional Australia,0.0084626,0.8462612,534.1342741640141
48,Olag,Borsi,Male,60,Telecommunications,Mass Customer,No,9,0484 North Avenue,2032,NSW,11,13,31.0,30-39,10.0,Major Cities of Australia,1.0,100.0,555.3459211639599
49,Mick,Macewan,Male,32,Financial Services,Mass Customer,No,16,59254 Northland Alley,2032,NSW,10,206,54.0,50-59,10.0,Major Cities of Australia,1.0,100.0,535.0356147039599
50,Melba,Spellacy,Female,38,Health,Mass Customer,No,4,0591 Anzinger Circle,2232,NSW,10,14,45.0,40-49,10.0,Major Cities of Australia,0.9992708,99.927079,535.5124745285478
51,Melba,Spellacy,Female,38,Health,Mass Customer,No,4,0591 Anzinger Circle,2232,NSW,10,14,45.0,40-49,11.0,Inner Regional Australia,0.0007292,0.072921,520.3397940173719
52,Odessa,Mc Andrew,Female,97,Property,Mass Customer,No,8,31756 Meadow Valley Lane,2232,NSW,10,54,40.0,30-39,10.0,Major Cities of Australia,0.9992708,99.927079,556.8609666765478
53,Odessa,Mc Andrew,Female,97,Property,Mass Customer,No,8,31756 Meadow Valley Lane,2232,NSW,10,54,40.0,30-39,11.0,Inner Regional Australia,0.0007292,0.072921,541.688286165372
54,Bengt,Bilson,Male,26,Manufacturing,High Net Worth,No,11,67 Grayhawk Circle,2232,NSW,10,99,49.0,40-49,10.0,Major Cities of Australia,0.9992708,99.927079,538.3920802515678
55,Bengt,Bilson,Male,26,Manufacturing,High Net Worth,No,11,67 Grayhawk Circle,2232,NSW,10,99,49.0,40-49,11.0,Inner Regional Australia,0.0007292,0.072921,523.2193997403919
56,Muffin,Grigolon,Male,7,Telecommunications,Mass Customer,No,12,4597 Marcy Point,2232,NSW,10,361,42.0,40-49,10.0,Major Cities of Australia,0.9992708,99.927079,538.5483973205479
57,Muffin,Grigolon,Male,7,Telecommunications,Mass Customer,No,12,4597 Marcy Point,2232,NSW,10,361,42.0,40-49,11.0,Inner Regional Australia,0.0007292,0.072921,523.375716809372
58,Aloysius,Glowacz,Male,72,Financial Services,Affluent Customer,No,18,07 Susan Lane,2232,NSW,10,396,42.0,40-49,10.0,Major Cities of Australia,0.9992708,99.927079,548.4132289385878
59,Aloysius,Glowacz,Male,72,Financial Services,Affluent Customer,No,18,07 Susan Lane,2232,NSW,10,396,42.0,40-49,11.0,Inner Regional Australia,0.0007292,0.072921,533.2405484274119
60,Simonette,Borsi,Female,4,Manufacturing,Affluent Customer,Yes,6,66 Hoffman Court,2232,NSW,8,760,31.0,30-39,10.0,Major Cities of Australia,0.9992708,99.927079,542.979047490588
61,Simonette,Borsi,Female,4,Manufacturing,Affluent Customer,Yes,6,66 Hoffman Court,2232,NSW,8,760,31.0,30-39,11.0,Inner Regional Australia,0.0007292,0.072921,527.806366979412
62,Deirdre,Sturgeon,Female,11,Retail,Mass Customer,Yes,9,7 Sycamore Terrace,2232,NSW,10,760,56.0,50-59,10.0,Major Cities of Australia,0.9992708,99.927079,542.7897308365478
63,Deirdre,Sturgeon,Female,11,Retail,Mass Customer,Yes,9,7 Sycamore Terrace,2232,NSW,10,760,56.0,50-59,11.0,Inner Regional Australia,0.0007292,0.072921,527.6170503253719
64,Ansell,Tolhurst,Male,77,Manufacturing,Affluent Customer,No,22,13 Montana Place,2232,NSW,10,797,72.0,70+,10.0,Major Cities of Australia,0.9992708,99.927079,548.0531450585878
65,Ansell,Tolhurst,Male,77,Manufacturing,Affluent Customer,No,22,13 Montana Place,2232,NSW,10,797,72.0,70+,11.0,Inner Regional Australia,0.0007292,0.072921,532.8804645474119
66,Beverly,Domnick,Female,56,IT,Mass Customer,No,9,8 Burning Wood Junction,2232,NSW,10,977,83.0,70+,10.0,Major Cities of Australia,0.9992708,99.927079,534.4968643005478
67,Beverly,Domnick,Female,56,IT,Mass Customer,No,9,8 Burning Wood Junction,2232,NSW,10,977,83.0,70+,11.0,Inner Regional Australia,0.0007292,0.072921,519.3241837893719
68,Mandie,Feares,Female,32,Health,Mass Customer,No,10,39 Kedzie Pass,4053,QLD,8,14,57.0,50-59,30.0,Major Cities of Australia,1.0,100.0,540.49364613996
69,Zabrina,Margram,Female,87,Manufacturing,High Net Worth,Yes,11,1092 Kinsman Parkway,4053,QLD,8,515,57.0,50-59,30.0,Major Cities of Australia,1.0,100.0,569.87842581898
70,Dukie,Swire,Male,88,Manufacturing,Affluent Customer,Yes,5,64 Granby Parkway,2500,NSW,8,16,67.0,60-69,10.0,Major Cities of Australia,1.0,100.0,563.53420437
