,first_name,last_name,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,Rank,age,age_group,RA_CODE_2016,RA_NAME_2016,RATIO,PERCENTAGE,Loyalty
0,Chickie,Brister,Male,86,Manufacturing,Mass Customer,Yes,14,45 Shopko Center,4500,QLD,6,1,64.0,60-69,30.0,Major Cities of Australia,1.0,100.0,Silver
1,Peria,Rantoull,Female,3,Financial Services,Mass Customer,No,4,8350 Moulton Terrace,4500,QLD,4,120,47.0,40-49,30.0,Major Cities of Australia,1.0,100.0,Bronze
2,Madison,Lars,Male,11,Health,Mass Customer,No,19,9503 New Castle Street,4500,QLD,9,620,55.0,50-59,30.0,Major Cities of Australia,1.0,100.0,Gold
3,Andrea,Pendle,Female,86,Financial Services,High Net Worth,Yes,13,31281 Meadow Valley Way,4500,QLD,6,760,83.0,70+,30.0,Major Cities of Australia,1.0,100.0,Silver
4,Philbert,Bangs,Male,67,IT,Mass Customer,Yes,6,02643 Moose Court,4500,QLD,7,951,56.0,50-59,30.0,Major Cities of Australia,1.0,100.0,Silver
5,Morly,Genery,Male,69,Property,Mass Customer,No,16,14 Mccormick Park,2113,NSW,11,1,51.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
6,Ardelis,Forrester,Female,10,Financial Services,Affluent Customer,No,10,5 Colorado Crossing,3505,VIC,5,1,47.0,40-49,22.0,Outer Regional Australia,1.0,100.0,Bronze
7,Lucine,Stutt,Female,64,Manufacturing,Affluent Customer,Yes,5,207 Annamark Plaza,4814,QLD,1,4,43.0,40-49,32.0,Outer Regional Australia,1.0,100.0,Bronze
8,Nancie,Vian,Female,74,Retail,Mass Customer,Yes,10,85 Carioca Point,4814,QLD,5,8,49.0,40-49,32.0,Outer Regional Australia,1.0,100.0,Silver
9,Conway,Juarez,Male,27,Financial Services,Affluent Customer,No,17,66904 American Ash Hill,4814,QLD,5,904,55.0,50-59,32.0,Outer Regional Australia,1.0,100.0,Bronze
10,Melinda,Hadlee,Female,34,Financial Services,Affluent Customer,No,19,115 Montana Place,2093,NSW,9,4,56.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Silver
11,Averil,Ackery,Male,93,Retail,Mass Customer,Yes,7,344 Darwin Junction,2093,NSW,12,676,51.0,50-59,10.0,Major Cities of Australia,1.0,100.0,Bronze
12,Micheil,Fleote,Male,48,Manufacturing,High Net Worth,No,16,174 Lotheville Crossing,2093,NSW,9,739,46.0,40-49,10.0,Major Cities of Australia,1.0,100.0,Silver
13,Druci,Brandli,Female,39,Entertainment,High Net Worth,Yes,22,89105 Pearson Terrace,4075,QLD,7,6,70.0,60-69,30.0,Major Cities of Australia,1.0,100.0,Silver
14,Bessy,Saladin,Female,22,Manufacturing,Mass Customer,Yes,16,60073 Pankratz Pass,4075,QLD,10,341,82.0,70+,30.0,Major Cities of Australia,1.0,100.0,Silver
15,Keenan,Moriarty,Male,67,Financial Services,Mass Customer,Yes,2,077 Hansons Point,4075,QLD,8,684,27.0,18-29,30.0,Major Cities of Australia,1.0,100.0,Bronze
16,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,10.0,Major Cities of Australia,0.7160068,71.6006793,Platinum
17,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,11.0,Inner Regional Australia,0.2609647,26.09647,Platinum
