,first_name,last_name,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,Rank,age,age_group,RA_CODE_2016,RA_NAME_2016,RATIO,PERCENTAGE,Profit
0,Chickie,Brister,Male,86,Manufacturing,Mass Customer,Yes,14,45 Shopko Center,4500,QLD,6,1,64.0,60-69,30.0,Major Cities of Australia,1.0,100.0,788.0453999999999
1,Peria,Rantoull,Female,3,Financial Services,Mass Customer,No,4,8350 Moulton Terrace,4500,QLD,4,120,47.0,40-49,30.0,Major Cities of Australia,1.0,100.0,507.5772
2,Madison,Lars,Male,11,Health,Mass Customer,No,19,9503 New Castle Street,4500,QLD,9,620,55.0,50-59,30.0,Major Cities of Australia,1.0,100.0,598.1024
3,Andrea,Pendle,Female,86,Financial Services,High Net Worth,Yes,13,31281 Meadow Valley Way,4500,QLD,6,760,83.0,70+,30.0,Major Cities of Australia,1.0,100.0,743.5035999999999
4,Philbert,Bangs,Male,67,IT,Mass Customer,Yes,6,02643 Moose Court,4500,QLD,7,951,56.0,50-59,30.0,Major Cities of Australia,1.0,100.0,721.0022
5,Morly,Genery,Male,69,Property,Mass Customer,No,16,14 Mccormick Park,2113,NSW,11,1,51.0,50-59,10.0,Major Cities of Australia,1.0,100.0,629.0843999999998
6,Ardelis,Forrester,Female,10,Financial Services,Affluent Customer,No,10,5 Colorado Crossing,3505,VIC,5,1,47.0,40-49,22.0,Outer Regional Australia,1.0,100.0,468.4038
7,Lucine,Stutt,Female,64,Manufacturing,Affluent Customer,Yes,5,207 Annamark Plaza,4814,QLD,1,4,43.0,40-49,32.0,Outer Regional Australia,1.0,100.0,640.8949
8,Nancie,Vian,Female,74,Retail,Mass Customer,Yes,10,85 Carioca Point,4814,QLD,5,8,49.0,40-49,32.0,Outer Regional Australia,1.0,100.0,759.4221
9,Conway,Juarez,Male,27,Financial Services,Affluent Customer,No,17,66904 American Ash Hill,4814,QLD,5,904,55.0,50-59,32.0,Outer Regional Australia,1.0,100.0,586.1672
10,Melinda,Hadlee,Female,34,Financial Services,Affluent Customer,No,19,115 Montana Place,2093,NSW,9,4,56.0,50-59,10.0,Major Cities of Australia,1.0,100.0,452.9019
11,Averil,Ackery,Male,93,Retail,Mass Customer,Yes,7,344 Darwin Junction,2093,NSW,12,676,51.0,50-59,10.0,Major Cities of Australia,1.0,100.0,713.6376999999999
12,Micheil,Fleote,Male,48,Manufacturing,High Net Worth,No,16,174 Lotheville Crossing,2093,NSW,9,739,46.0,40-49,10.0,Major Cities of Australia,1.0,100.0,545.2174
13,Druci,Brandli,Female,39,Entertainment,High Net Worth,Yes,22,89105 Pearson Terrace,4075,QLD,7,6,70.0,60-69,30.0,Major Cities of Australia,1.0,100.0,627.9742999999999
14,Bessy,Saladin,Female,22,Manufacturing,Mass Customer,Yes,16,60073 Pankratz Pass,4075,QLD,10,341,82.0,70+,30.0,Major Cities of Australia,1.0,100.0,748.3351999999999
15,Keenan,Moriarty,Male,67,Financial Services,Mass Customer,Yes,2,077 Hansons Point,4075,QLD,8,684,27.0,18-29,30.0,Major Cities of Australia,1.0,100.0,581.0921
16,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,10.0,Major Cities of Australia,0.7160068,71.6006793,456.00683343955995
17,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,11.0,Inner Regional Australia,0.2609647,26.09647,376.68872792698994
18,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,80.0,Major Cities of Australia,0.0174731,1.7473128,622.86671315527
19,Rutledge,Hallt,Male,23,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,45.0,40-49,81.0,Inner Regional Australia,0.0055554,0.5555379,592.8292254781799
20,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,10.0,Major Cities of Australia,0.7160068,71.6006793,495.96953343956
21,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,11.0,Inner Regional Australia,0.2609647,26.09647,416.65142792699
22,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,80.0,Major Cities of Australia,0.0174731,1.7473128,662.82941315527
23,Sybilla,MacCart,Female,88,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,35.0,30-39,81.0,Inner Regional Australia,0.0055554,0.5555379,632.7919254781799
24,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,10.0,Major Cities of Australia,0.7160068,71.6006793,540.79613343956
25,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,11.0,Inner Regional Australia,0.2609647,26.09647,461.47802792698997
26,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,80.0,Major Cities of Australia,0.0174731,1.7473128,707.65601315527
27,Renate,Whyte,Female,60,Health,High Net Worth,Yes,15,4189 Laurel Center,2620,NSW,7,828,58.0,50-59,81.0,Inner Regional Australia,0.0055554,0.5555379,677.61852547818
28,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,10.0,Major Cities of Australia,0.7160068,71.6006793,384.81833343956
29,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,11.0,Inner Regional Australia,0.2609647,26.09647,305.50022792698996
30,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,80.0,Major Cities of Australia,0.0174731,1.7473128,551.67821315527
31,Lolly,Prewer,Female,44,Health,Mass Customer,No,15,694 Coolidge Center,2620,NSW,7,988,24.0,18-29,81.0,Inner Regional Australia,0.0055554,0.5555379,521.6407254781799
32,Duff,Karlowicz,Male,50,Manufacturing,Mass Customer,Yes,5,717 West Drive,2200,NSW,10,8,49.0,40-49,10.0,Major Cities of Australia,1.0,100.0,624.8066999999999
33,Rolland,Esmead,Male,41,Health,Affluent Customer,No,8,72008 7th Avenue,2200,NSW,8,233,81.0,70+,10.0,Major Cities of Australia,1.0,100.0,603.8836
34,Kissie,Line,Female,2,Manufacturing,Affluent Customer,Yes,7,629 Grasskamp Junction,2200,NSW,9,862,21.0,18-29,10.0,Major Cities of Australia,1.0,100.0,384.9077
35,Ferdinand,Romanetti,Male,60,Financial Services,Affluent Customer,No,9,2 Sloan Way,2200,NSW,7,996,62.0,60-69,10.0,Major Cities of Australia,1.0,100.0,538.2569
36,Barthel,Docket,Male,72,IT,Mass Customer,Yes,17,80 Scofield Junction,4151,QLD,5,10,36.0,30-39,30.0,Major Cities of Australia,1.0,100.0,654.0261999999999
37,Clarine,Piecha,Female,99,Health,High Net Worth,No,14,7523 Eggendart Hill,4151,QLD,10,865,57.0,50-59,30.0,Major Cities of Australia,1.0,100.0,639.9073
38,Rockwell,Matson,Male,94,Retail,High Net Worth,No,3,3682 Crowley Point,4573,QLD,6,10,27.0,18-29,30.0,Major Cities of Australia,0.9967523,99.6752336,630.79071776191
39,Rockwell,Matson,Male,94,Retail,High Net Worth,No,3,3682 Crowley Point,4573,QLD,6,10,27.0,18-29,31.0,Inner Regional Australia,0.0032477,0.3247664,491.58928223809005
40,Wheeler,Winward,Male,48,Manufacturing,Mass Customer,No,10,3 Golden Leaf Point,3216,VIC,8,12,22.0,18-29,20.0,Major Cities of Australia,0.9915374,99.1537388,517.84255986758
41,Wheeler,Winward,Male,48,Manufacturing,Mass Customer,No,10,3 Golden Leaf Point,3216,VIC,8,12,22.0,18-29,21.0,Inner Regional Australia,0.0084626,0.8462612,379.80104013242
42,Ingmar,Okenden,Male,97,Financial Services,Mass Customer,Yes,8,1 Graceland Plaza,3216,VIC,2,478,63.0,60-69,20.0,Major Cities of Australia,0.9915374,99.1537388,708.0955598675799
43,Ingmar,Okenden,Male,97,Financial Services,Mass Customer,Yes,8,1 Graceland Plaza,3216,VIC,2,478,63.0,60-69,21.0,Inner Regional Australia,0.0084626,0.8462612,570.0540401324199
44,Debby,Balmadier,Female,53,Financial Services,Affluent Customer,Yes,5,738 Spaight Drive,3216,VIC,8,691,29.0,18-29,20.0,Major Cities of Australia,0.9915374,99.1537388,450.81675986758
45,Debby,Balmadier,Female,53,Financial Services,Affluent Customer,Yes,5,738 Spaight Drive,3216,VIC,8,691,29.0,18-29,21.0,Inner Regional Australia,0.0084626,0.8462612,312.77524013242004
46,Teodor,Mullinder,Male,56,Manufacturing,High Net Worth,No,11,43 Pond Junction,3216,VIC,5,832,59.0,50-59,20.0,Major Cities of Australia,0.9915374,99.1537388,634.95415986758
47,Teodor,Mullinder,Male,56,Manufacturing,High Net Worth,No,11,43 Pond Junction,3216,VIC,5,832,59.0,50-59,21.0,Inner Regional Australia,0.0084626,0.8462612,496.91264013241994
48,Olag,Borsi,Male,60,Telecommunications,Mass Customer,No,9,0484 North Avenue,2032,NSW,11,13,31.0,30-39,10.0,Major Cities of Australia,1.0,100.0,581.8427999999999
49,Mick,Macewan,Male,32,Financial Services,Mass Customer,No,16,59254 Northland Alley,2032,NSW,10,206,54.0,50-59,10.0,Major Cities of Australia,1.0,100.0,529.9379
50,Melba,Spellacy,Female,38,Health,Mass Customer,No,4,0591 Anzinger Circle,2232,NSW,10,14,45.0,40-49,10.0,Major Cities of Australia,0.9992708,99.927079,485.83150442836
